
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 00:00:00'   345.000             702.993  2000.000             758.000
'2015-07-01 00:15:00'   490.000             700.000  1799.437             715.807
'2015-07-01 00:30:00'   535.000             700.000  1835.354             765.059
'2015-07-01 00:45:00'   580.000             700.000  1692.323             714.218
'2015-07-01 01:00:00'   625.000             700.000  1669.581             751.000
'2015-07-01 01:15:00'   670.000             700.000  1727.271             711.841
'2015-07-01 01:30:00'   700.000             700.000  1464.427             740.069
'2015-07-01 01:45:00'   700.000             700.000  1622.966             696.192
'2015-07-01 02:00:00'   700.000             700.000  1516.755             708.000
'2015-07-01 02:15:00'   700.000             700.000  1522.110             660.725
'2015-07-01 02:30:00'   700.000             700.000  1462.223             737.395
'2015-07-01 02:45:00'   700.000             700.000  1526.972             659.398
'2015-07-01 03:00:00'   700.000             700.000  1437.930             666.000
'2015-07-01 03:15:00'   700.000             700.000  1486.532             650.944
'2015-07-01 03:30:00'   700.000             700.000  1564.593             609.807
'2015-07-01 03:45:00'   700.000             700.000  1511.359             598.846
'2015-07-01 04:00:00'   700.000             700.000  1623.343             541.000
'2015-07-01 04:15:00'   700.000             700.000  1738.037             508.005
'2015-07-01 04:30:00'   700.000             700.000  1886.266             498.948
'2015-07-01 04:45:00'   700.000             700.000  1936.798             510.844
'2015-07-01 05:00:00'   700.000             741.818  2000.000             485.000
'2015-07-01 05:15:00'   700.000             815.482  2000.000             461.582
'2015-07-01 05:30:00'   700.000             947.553  2000.000             460.637
'2015-07-01 05:45:00'   700.000            1225.188  2000.000             370.318
'2015-07-01 06:00:00'   700.000            1264.706  2000.000             385.000
'2015-07-01 06:15:00'   700.000            1499.693  2000.000             379.768
'2015-07-01 06:30:00'   700.000            1718.979  2000.000             371.612
'2015-07-01 06:45:00'   700.000            1807.021  2000.000             357.989
'2015-07-01 07:00:00'   700.000            2000.000  2000.000    58.070   377.000
'2015-07-01 07:15:00'   700.000            2000.000  2000.000   266.343   354.051
'2015-07-01 07:30:00'   700.000            2000.000  2000.000   481.274   375.132
'2015-07-01 07:45:00'   700.000            2000.000  2000.000   577.781   361.250
'2015-07-01 08:00:00'   700.000    14.196  2000.000  2000.000   675.000   350.000
'2015-07-01 08:15:00'   700.000    48.000  2000.000  2000.000   675.000   314.700
'2015-07-01 08:30:00'   700.000    48.000  2000.000  2000.000   675.000   345.680
'2015-07-01 08:45:00'   700.000    48.000  2000.000  2000.000   675.000   342.914
'2015-07-01 09:00:00'   700.000    48.000  2000.000  2000.000   675.000   320.000
'2015-07-01 09:15:00'   700.000    48.000  2000.000  2000.000   675.000   330.002
'2015-07-01 09:30:00'   700.000    48.000  2000.000  2000.000   675.000   337.247
'2015-07-01 09:45:00'   700.000    48.000  2000.000  2000.000   675.000   341.568
'2015-07-01 10:00:00'   700.000    48.000  2000.000  2000.000   675.000   341.000
'2015-07-01 10:15:00'   700.000    48.000  2000.000  2000.000   675.000   318.972
'2015-07-01 10:30:00'   700.000    48.000  2000.000  2000.000   675.000   334.242
'2015-07-01 10:45:00'   700.000    48.000  2000.000  2000.000   675.000   326.097
'2015-07-01 11:00:00'   700.000    48.000  2000.000  2000.000   675.000   337.000
'2015-07-01 11:15:00'   700.000    48.000  2000.000  2000.000   675.000   334.531
'2015-07-01 11:30:00'   700.000    48.000  2000.000  2000.000   675.000   336.915
'2015-07-01 11:45:00'   700.000    19.200  2000.000  2000.000   647.986   362.390
'2015-07-01 12:00:00'   700.000    19.200  2000.000  2000.000   562.171   337.000
'2015-07-01 12:15:00'   700.000    19.200  2000.000  2000.000   501.316   359.665
'2015-07-01 12:30:00'   700.000    19.200  2000.000  2000.000   652.447   366.398
'2015-07-01 12:45:00'   700.000    19.200  2000.000  2000.000   442.456   402.753
'2015-07-01 13:00:00'   700.000    19.200  2000.000  2000.000   405.758   433.000
'2015-07-01 13:15:00'   700.000    19.200  2000.000  2000.000   368.275   413.129
'2015-07-01 13:30:00'   700.000    19.200  1963.972  2000.000   337.500   379.445
'2015-07-01 13:45:00'   700.000    19.200  1976.898  2000.000   337.500   361.953
'2015-07-01 14:00:00'   700.000    19.200  2000.000  2000.000   388.933   329.000
'2015-07-01 14:15:00'   700.000    19.200  2000.000  2000.000   578.079   293.186
'2015-07-01 14:30:00'   700.000    19.200  2000.000  2000.000   427.857   300.103
