
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 00:00:00'   345.000             900.000  1920.959             758.000
'2015-07-01 00:15:00'   490.000            1140.000  1510.608             776.652
'2015-07-01 00:30:00'   535.000            1105.740  1520.000             736.633
'2015-07-01 00:45:00'   580.000             931.051  1516.489             776.894
'2015-07-01 01:00:00'   625.000             964.724  1496.020             751.000
'2015-07-01 01:15:00'   670.000             888.960  1474.797             730.518
'2015-07-01 01:30:00'   700.000             964.324  1426.049             776.741
'2015-07-01 01:45:00'   700.000             899.012  1503.254             703.875
'2015-07-01 02:00:00'   700.000             840.000  1464.291             708.000
'2015-07-01 02:15:00'   700.000             899.241  1428.755             696.904
'2015-07-01 02:30:00'   700.000             840.000  1430.003             650.861
'2015-07-01 02:45:00'   700.000             848.077  1337.414             645.425
'2015-07-01 03:00:00'   700.000             840.000  1381.313             666.000
'2015-07-01 03:15:00'   700.000             840.000  1410.766             619.483
'2015-07-01 03:30:00'   700.000             866.919  1479.661             591.883
'2015-07-01 03:45:00'   700.000             840.000  1408.869             559.602
'2015-07-01 04:00:00'   700.000             897.678  1508.394             541.000
'2015-07-01 04:15:00'   700.000            1097.894  1522.571             527.747
'2015-07-01 04:30:00'   700.000             975.515  1520.000             509.624
'2015-07-01 04:45:00'   700.000            1187.585  1541.913             478.409
'2015-07-01 05:00:00'   700.000            1301.769  1526.553             485.000
'2015-07-01 05:15:00'   700.000            1400.000  1605.869             457.209
'2015-07-01 05:30:00'   700.000            1460.806  1520.000             462.077
'2015-07-01 05:45:00'   700.000            1529.684  1578.976             406.371
'2015-07-01 06:00:00'   700.000            1734.774  1624.712             385.000
'2015-07-01 06:15:00'   700.000            1789.327  1804.392             373.481
'2015-07-01 06:30:00'   700.000            1880.851  1902.346             383.496
'2015-07-01 06:45:00'   700.000            2000.000  1980.161             358.384
'2015-07-01 07:00:00'   700.000            2000.000  2000.000   177.303   377.000
'2015-07-01 07:15:00'   700.000            2000.000  2000.000   422.434   403.063
'2015-07-01 07:30:00'   700.000            2000.000  2000.000   503.936   361.153
'2015-07-01 07:45:00'   700.000            2000.000  2000.000   626.694   350.468
'2015-07-01 08:00:00'   700.000    48.000  2000.000  2000.000   675.000   350.000
'2015-07-01 08:15:00'   700.000    48.000  2000.000  2000.000   675.000   353.041
'2015-07-01 08:30:00'   700.000    48.000  2000.000  2000.000   675.000   335.651
'2015-07-01 08:45:00'   700.000    48.000  2000.000  2000.000   675.000   344.129
'2015-07-01 09:00:00'   700.000    48.000  2000.000  2000.000   675.000   320.000
'2015-07-01 09:15:00'   700.000    48.000  2000.000  2000.000   675.000   340.065
'2015-07-01 09:30:00'   700.000    48.000  2000.000  2000.000   675.000   314.803
'2015-07-01 09:45:00'   700.000    48.000  2000.000  2000.000   675.000   330.838
'2015-07-01 10:00:00'   700.000    48.000  2000.000  2000.000   675.000   341.000
'2015-07-01 10:15:00'   700.000    48.000  2000.000  2000.000   675.000   344.899
'2015-07-01 10:30:00'   700.000    48.000  2000.000  2000.000   675.000   353.199
'2015-07-01 10:45:00'   700.000    48.000  2000.000  2000.000   675.000   329.155
'2015-07-01 11:00:00'   700.000    48.000  2000.000  2000.000   675.000   337.000
'2015-07-01 11:15:00'   700.000    48.000  2000.000  2000.000   675.000   336.374
'2015-07-01 11:30:00'   700.000    48.000  2000.000  2000.000   675.000   307.506
'2015-07-01 11:45:00'   700.000    48.000  2000.000  2000.000   675.000   351.657
'2015-07-01 12:00:00'   700.000    21.097  2000.000  2000.000   675.000   337.000
'2015-07-01 12:15:00'   700.000    48.000  2000.000  2000.000   675.000   369.344
'2015-07-01 12:30:00'   700.000    19.200  2000.000  2000.000   628.960   395.421
'2015-07-01 12:45:00'   700.000    19.200  2000.000  2000.000   571.292   421.982
'2015-07-01 13:00:00'   700.000    19.200  2000.000  2000.000   523.085   433.000
'2015-07-01 13:15:00'   700.000    19.200  2000.000  2000.000   622.747   445.520
'2015-07-01 13:30:00'   700.000    19.200  2000.000  2000.000   444.603   406.099
'2015-07-01 13:45:00'   700.000    19.200  2000.000  2000.000   367.849   370.848
'2015-07-01 14:00:00'   700.000    19.200  2000.000  2000.000   501.943   329.000
'2015-07-01 14:15:00'   700.000    19.200  2000.000  2000.000   520.070   303.458
'2015-07-01 14:30:00'   700.000    19.200  2000.000  2000.000   611.198   318.603
'2015-07-01 14:45:00'   700.000    19.200  2000.000  2000.000   393.565   263.055
