
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 00:00:00'    20.000    45.000    20.000  1365.993  2355.000          
'2015-07-01 00:05:00'    40.000    90.000    40.000  1187.282  2414.113          
'2015-07-01 00:10:00'    60.000   135.000    60.000  1195.435  2373.257          
'2015-07-01 00:15:00'    80.000   180.000    80.000  1166.694  2275.470          
'2015-07-01 00:20:00'   100.000   225.000   100.000  1133.852  2318.385          
'2015-07-01 00:25:00'   120.000   270.000   120.000  1080.174  2292.088          
'2015-07-01 00:30:00'   140.000   315.000   140.000   956.666  2243.672          
'2015-07-01 00:35:00'   160.000   348.000   160.000   829.249  2319.817          
'2015-07-01 00:40:00'   180.000   363.000   180.000   722.794  2267.861          
'2015-07-01 00:45:00'   200.000   378.000   200.000   814.471  2210.760          
'2015-07-01 00:50:00'   220.000   383.000   220.000   657.786  2225.924          
'2015-07-01 00:55:00'   240.000   383.000   240.000   665.929  2224.795          
'2015-07-01 01:00:00'   260.000   383.000   260.000   635.581  2207.000          
'2015-07-01 01:05:00'   280.000   383.000   280.000   564.774  2288.167          
'2015-07-01 01:10:00'   300.000   383.000   300.000   510.581  2162.554          
'2015-07-01 01:15:00'   320.000   383.000   320.000   613.745  2166.637          
'2015-07-01 01:20:00'   340.000   383.000   340.000   547.269  2196.611          
'2015-07-01 01:25:00'   360.000   383.000   360.000   370.607  2220.987          
'2015-07-01 01:30:00'   380.000   383.000   380.000   497.884  2031.240          
'2015-07-01 01:35:00'   400.000   383.000   400.000   138.176  2256.042          
'2015-07-01 01:40:00'   400.000   383.000   400.000   212.712  2231.907          
'2015-07-01 01:45:00'   400.000   383.000   400.000   371.666  2169.165          
'2015-07-01 01:50:00'   400.000   383.000   400.000   284.934  2175.278          
'2015-07-01 01:55:00'   400.000   383.000   400.000   391.166  2117.555          
'2015-07-01 02:00:00'   400.000   383.000   400.000   295.755  2146.000          
'2015-07-01 02:05:00'   400.000   383.000   400.000   232.533  2115.297          
'2015-07-01 02:10:00'   400.000   383.000   400.000   374.072  2079.561          
'2015-07-01 02:15:00'   400.000   383.000   400.000   246.028  2134.159          
'2015-07-01 02:20:00'   400.000   383.000   400.000   151.321  2100.487          
'2015-07-01 02:25:00'   400.000   383.000   400.000   339.068  2101.526          
'2015-07-01 02:30:00'   400.000   383.000   400.000   251.934  2107.207          
'2015-07-01 02:35:00'   400.000   383.000   400.000   201.249  2113.579          
'2015-07-01 02:40:00'   400.000   383.000   400.000   211.842  2045.753          
'2015-07-01 02:45:00'   400.000   383.000   400.000   336.877  2025.395          
'2015-07-01 02:50:00'   400.000   383.000   400.000   444.460  1988.178          
'2015-07-01 02:55:00'   400.000   383.000   400.000   483.148  2046.325          
'2015-07-01 03:00:00'   400.000   383.000   400.000   296.930  2024.000          
'2015-07-01 03:05:00'   400.000   383.000   400.000   275.688  2027.578          
'2015-07-01 03:10:00'   400.000   383.000   400.000   440.944  1942.237          
'2015-07-01 03:15:00'   400.000   383.000   400.000   455.321  1874.328          
'2015-07-01 03:20:00'   400.000   383.000   400.000   410.153  1938.133          
'2015-07-01 03:25:00'   400.000   383.000   400.000   250.737  2003.019          
'2015-07-01 03:30:00'   400.000   383.000   400.000   468.917  1863.451          
'2015-07-01 03:35:00'   400.000   383.000   400.000   435.405  1857.605          
'2015-07-01 03:40:00'   400.000   383.000   400.000   581.214  1859.983          
'2015-07-01 03:45:00'   400.000   383.000   400.000   634.536  1807.356          
'2015-07-01 03:50:00'   400.000   383.000   400.000   582.844  1752.939          
'2015-07-01 03:55:00'   400.000   383.000   400.000   533.230  1757.005          
'2015-07-01 04:00:00'   400.000   383.000   400.000   645.343  1736.000          
'2015-07-01 04:05:00'   400.000   383.000   400.000   624.622  1729.160          
'2015-07-01 04:10:00'   400.000   383.000   400.000   826.220  1723.291          
'2015-07-01 04:15:00'   400.000   383.000   400.000   762.464  1700.821          
'2015-07-01 04:20:00'   400.000   383.000   400.000   891.332  1747.210          
'2015-07-01 04:25:00'   400.000   383.000   400.000   882.150  1693.818          
'2015-07-01 04:30:00'   400.000   383.000   400.000   657.653  1798.648          
'2015-07-01 04:35:00'   400.000   383.000   400.000   962.532  1657.498          
'2015-07-01 04:40:00'   400.000   383.000   400.000  1124.986  1697.771          
'2015-07-01 04:45:00'   400.000   383.000   400.000   877.328  1729.402          
'2015-07-01 04:50:00'   400.000   383.000   400.000  1012.255  1720.707          
'2015-07-01 04:55:00'   400.000   383.000   400.000  1054.100  1716.653          
'2015-07-01 05:00:00'   400.000   383.000   400.000  1046.818  1697.000          
'2015-07-01 05:05:00'   400.000   383.000   400.000  1087.366  1698.422     0.344
'2015-07-01 05:10:00'   400.000   383.000   400.000  1050.950  1665.315     0.674
'2015-07-01 05:15:00'   400.000   383.000   400.000  1116.155  1713.939     0.907
'2015-07-01 05:20:00'   400.000   383.000   400.000  1320.252  1578.913     1.080
'2015-07-01 05:25:00'   400.000   383.000   400.000  1221.288  1608.511     1.497
'2015-07-01 05:30:00'   400.000   383.000   400.000  1372.211  1641.433     1.887
'2015-07-01 05:35:00'   400.000   383.000   400.000  1432.198  1610.849     2.107
'2015-07-01 05:40:00'   400.000   383.000   400.000  1382.161  1605.318     3.112
'2015-07-01 05:45:00'   400.000   383.000   400.000  1483.428  1538.911     3.214
'2015-07-01 05:50:00'   400.000   383.000   400.000  1758.244  1485.848     2.735
'2015-07-01 05:55:00'   400.000   383.000   400.000  1704.036  1536.451     3.662
'2015-07-01 06:00:00'   400.000   383.000   400.000  1628.706  1534.000     4.000
'2015-07-01 06:05:00'   400.000   383.000   400.000  1845.284  1538.889     9.375
'2015-07-01 06:10:00'   400.000   383.000   400.000  1554.721  1577.963    16.250
'2015-07-01 06:15:00'   400.000   383.000   400.000  1961.949  1514.631    20.929
'2015-07-01 06:20:00'   400.000   383.000   400.000  1768.110  1595.789    26.516
'2015-07-01 06:25:00'   400.000   383.000   400.000  2035.068  1510.633    32.077
'2015-07-01 06:30:00'   400.000   383.000   400.000  2147.067  1541.575    38.482
'2015-07-01 06:35:00'   400.000   383.000   400.000  2106.352  1451.614    42.396
'2015-07-01 06:40:00'   400.000   383.000   400.000  2108.215  1486.043    49.398
'2015-07-01 06:45:00'   400.000   383.000   400.000  2242.163  1481.646    55.111
'2015-07-01 06:50:00'   400.000   383.000   400.000  2338.168  1477.856    55.769
'2015-07-01 06:55:00'   400.000   383.000   400.000  2364.848  1521.495    67.135
'2015-07-01 07:00:00'   400.000   383.000   400.000  2398.070  1482.000    72.000
'2015-07-01 07:05:00'   400.000   383.000   400.000  2539.787  1439.381    83.517
'2015-07-01 07:10:00'   400.000   383.000   400.000  2455.042  1501.471   103.824
'2015-07-01 07:15:00'   400.000   383.000   400.000  2468.387  1479.621   117.745
'2015-07-01 07:20:00'   400.000   383.000   400.000  2472.794  1478.195   135.055
'2015-07-01 07:25:00'   400.000   383.000   400.000  2574.404  1417.259   145.217
'2015-07-01 07:30:00'   400.000   383.000   400.000  2631.279  1471.207   161.813
'2015-07-01 07:35:00'   400.000   383.000   400.000  2896.674  1488.736   182.915
'2015-07-01 07:40:00'   400.000   383.000   400.000  2792.557  1445.076   195.349
'2015-07-01 07:45:00'   400.000   383.000   400.000  2641.936  1488.177   207.827
'2015-07-01 07:50:00'   400.000   383.000   400.000  3028.316  1439.423   223.966
'2015-07-01 07:55:00'   400.000   383.000   400.000  2610.835  1444.935   242.121
'2015-07-01 08:00:00'   400.000   383.000   400.000  2846.196  1456.000   254.000
'2015-07-01 08:05:00'   400.000   383.000   400.000  2933.621  1506.341   273.649
'2015-07-01 08:10:00'   400.000   383.000   400.000  2952.594  1486.468   278.791
'2015-07-01 08:15:00'   400.000   383.000   400.000  2802.925  1464.930   285.717
'2015-07-01 08:20:00'   400.000   383.000   400.000  2845.182  1445.847   310.608
'2015-07-01 08:25:00'   400.000   383.000   400.000  2949.716  1457.982   345.950
'2015-07-01 08:30:00'   400.000   383.000   400.000  2970.335  1423.869   362.127
'2015-07-01 08:35:00'   400.000   383.000   400.000  2885.677  1405.883   367.273
'2015-07-01 08:40:00'   400.000   383.000   400.000  2812.639  1418.781   402.268
'2015-07-01 08:45:00'   400.000   383.000   400.000  3052.960  1354.827   421.309
'2015-07-01 08:50:00'   400.000   383.000   400.000  2996.481  1418.402   402.917
'2015-07-01 08:55:00'   400.000   383.000   400.000  3010.318  1380.956   405.531
'2015-07-01 09:00:00'   400.000   383.000   400.000  2963.846  1388.000   446.000
'2015-07-01 09:05:00'   400.000   383.000   400.000  2871.784  1381.656   465.345
'2015-07-01 09:10:00'   400.000   383.000   400.000  2980.504  1429.233   463.066
'2015-07-01 09:15:00'   400.000   383.000   400.000  2771.623  1505.487   484.544
'2015-07-01 09:20:00'   400.000   383.000   400.000  2840.001  1508.707   504.039
'2015-07-01 09:25:00'   400.000   383.000   400.000  2993.444  1500.843   511.290
'2015-07-01 09:30:00'   400.000   383.000   400.000  2644.385  1502.047   500.455
'2015-07-01 09:35:00'   400.000   383.000   400.000  2953.912  1418.000   552.694
'2015-07-01 09:40:00'   400.000   383.000   400.000  2910.172  1470.221   536.372
'2015-07-01 09:45:00'   400.000   383.000   400.000  2757.326  1548.175   556.763
