
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 00:00:00'   400.000   383.000   400.000   267.993  2355.000          
'2015-07-01 00:05:00'   400.000   383.000   400.000   326.080  2274.570          
'2015-07-01 00:10:00'   400.000   382.833   400.000   188.979  2312.251          
'2015-07-01 00:15:00'   400.000   337.833   400.000   452.129  2308.634          
'2015-07-01 00:20:00'   400.000   292.833   400.000   320.000  2318.765          
'2015-07-01 00:25:00'   400.000   337.833   400.000   455.835  2301.120          
'2015-07-01 00:30:00'   400.000   312.462   400.000   320.000  2329.345          
'2015-07-01 00:35:00'   400.000   276.628   400.000   320.000  2288.129          
'2015-07-01 00:40:00'   400.000   232.665   400.000   320.000  2356.473          
'2015-07-01 00:45:00'   400.000   277.665   400.000   526.886  2221.698          
'2015-07-01 00:50:00'   400.000   322.665   400.000   388.358  2273.847          
'2015-07-01 00:55:00'   400.000   310.542   400.000   320.000  2252.130          
'2015-07-01 01:00:00'   400.000   355.542   400.000   383.038  2207.000          
'2015-07-01 01:05:00'   400.000   383.000   400.000   468.499  2156.286          
'2015-07-01 01:10:00'   400.000   383.000   400.000   457.692  2137.038          
'2015-07-01 01:15:00'   400.000   383.000   400.000   332.422  2179.838          
'2015-07-01 01:20:00'   400.000   342.969   400.000   320.000  2181.216          
'2015-07-01 01:25:00'   400.000   383.000   400.000   371.836  2129.858          
'2015-07-01 01:30:00'   400.000   341.583   400.000   320.000  2146.241          
'2015-07-01 01:35:00'   400.000   354.664   400.000   336.131  2145.232          
'2015-07-01 01:40:00'   400.000   309.664   400.000   320.000  2196.744          
'2015-07-01 01:45:00'   400.000   354.664   400.000   370.244  2147.927          
'2015-07-01 01:50:00'   400.000   377.697   400.000   320.000  2098.793          
'2015-07-01 01:55:00'   400.000   383.000   400.000   433.040  2106.221          
'2015-07-01 02:00:00'   400.000   358.755   400.000   320.000  2146.000          
'2015-07-01 02:05:00'   400.000   381.075   400.000   208.965  2184.627          
'2015-07-01 02:10:00'   400.000   383.000   400.000   383.965  2090.893          
'2015-07-01 02:15:00'   400.000   383.000   400.000   228.181  2096.137          
'2015-07-01 02:20:00'   400.000   383.000   400.000   244.731  2109.537          
'2015-07-01 02:25:00'   400.000   383.000   400.000   373.713  2098.198          
'2015-07-01 02:30:00'   400.000   383.000   400.000   204.264  2096.581          
'2015-07-01 02:35:00'   400.000   383.000   400.000   343.488  2031.357          
'2015-07-01 02:40:00'   400.000   383.000   400.000   191.688  2089.623          
'2015-07-01 02:45:00'   400.000   383.000   400.000   403.224  2039.046          
'2015-07-01 02:50:00'   400.000   383.000   400.000   337.271  2012.307          
'2015-07-01 02:55:00'   400.000   344.022   400.000   320.000  2033.284          
'2015-07-01 03:00:00'   400.000   359.930   400.000   320.000  2024.000          
'2015-07-01 03:05:00'   400.000   356.727   400.000   320.000  2042.518          
'2015-07-01 03:10:00'   400.000   383.000   400.000   356.267  1980.150          
'2015-07-01 03:15:00'   400.000   383.000   400.000   404.728  1989.278          
'2015-07-01 03:20:00'   400.000   339.496   400.000   320.000  1937.170          
'2015-07-01 03:25:00'   400.000   383.000   400.000   425.607  1916.361          
'2015-07-01 03:30:00'   400.000   383.000   400.000   458.819  1859.016          
'2015-07-01 03:35:00'   400.000   383.000   400.000   451.112  1895.250          
'2015-07-01 03:40:00'   400.000   383.000   400.000   335.811  1890.471          
'2015-07-01 03:45:00'   400.000   383.000   400.000   656.726  1813.080          
'2015-07-01 03:50:00'   400.000   383.000   400.000   662.941  1732.157          
'2015-07-01 03:55:00'   400.000   383.000   400.000   558.930  1714.091          
'2015-07-01 04:00:00'   400.000   383.000   400.000   645.343  1736.000          
'2015-07-01 04:05:00'   400.000   383.000   400.000   704.072  1711.285          
'2015-07-01 04:10:00'   400.000   383.000   400.000   646.416  1759.488          
'2015-07-01 04:15:00'   400.000   383.000   400.000   751.475  1743.681          
'2015-07-01 04:20:00'   400.000   383.000   400.000   725.987  1688.202          
'2015-07-01 04:25:00'   400.000   383.000   400.000   706.817  1762.745          
'2015-07-01 04:30:00'   400.000   381.704   400.000   800.000  1750.032          
'2015-07-01 04:35:00'   400.000   383.000   400.000  1033.522  1679.565          
'2015-07-01 04:40:00'   400.000   383.000   400.000   983.580  1691.428          
'2015-07-01 04:45:00'   400.000   383.000   400.000  1028.946  1718.332          
'2015-07-01 04:50:00'   400.000   383.000   400.000   894.130  1741.609          
'2015-07-01 04:55:00'   400.000   383.000   400.000  1032.180  1716.931          
'2015-07-01 05:00:00'   400.000   383.000   400.000  1046.818  1697.000          
'2015-07-01 05:05:00'   400.000   383.000   400.000   953.736  1684.193     0.361
'2015-07-01 05:10:00'   400.000   383.000   400.000  1112.726  1654.164     0.587
'2015-07-01 05:15:00'   400.000   383.000   400.000  1275.621  1644.891     1.116
'2015-07-01 05:20:00'   400.000   383.000   400.000  1184.638  1662.455     1.528
'2015-07-01 05:25:00'   400.000   383.000   400.000  1464.043  1612.715     1.811
'2015-07-01 05:30:00'   400.000   383.000   400.000  1289.923  1620.377     1.970
'2015-07-01 05:35:00'   400.000   383.000   400.000  1335.877  1582.487     2.699
'2015-07-01 05:40:00'   400.000   383.000   400.000  1383.030  1605.337     2.933
'2015-07-01 05:45:00'   400.000   383.000   400.000  1517.368  1567.887     2.774
'2015-07-01 05:50:00'   400.000   383.000   400.000  1611.378  1536.575     2.858
'2015-07-01 05:55:00'   400.000   383.000   400.000  1442.336  1606.449     3.850
'2015-07-01 06:00:00'   400.000   383.000   400.000  1628.706  1534.000     4.000
'2015-07-01 06:05:00'   400.000   383.000   400.000  1600.624  1534.087     9.996
'2015-07-01 06:10:00'   400.000   383.000   400.000  1783.075  1490.628    15.108
'2015-07-01 06:15:00'   400.000   383.000   400.000  1847.497  1517.771    20.090
'2015-07-01 06:20:00'   400.000   383.000   400.000  1945.469  1496.061    25.444
'2015-07-01 06:25:00'   400.000   383.000   400.000  1952.124  1549.269    33.743
'2015-07-01 06:30:00'   400.000   383.000   400.000  2170.559  1460.918    36.819
'2015-07-01 06:35:00'   400.000   383.000   400.000  1944.378  1506.578    42.250
'2015-07-01 06:40:00'   400.000   383.000   400.000  2236.238  1461.164    50.387
'2015-07-01 06:45:00'   400.000   383.000   400.000  2191.166  1439.012    54.786
'2015-07-01 06:50:00'   400.000   383.000   400.000  2267.636  1489.790    62.284
'2015-07-01 06:55:00'   400.000   383.000   400.000  2247.038  1420.698    65.328
'2015-07-01 07:00:00'   400.000   383.000   400.000  2398.070  1482.000    72.000
'2015-07-01 07:05:00'   400.000   383.000   400.000  2473.490  1493.586    85.233
'2015-07-01 07:10:00'   400.000   383.000   400.000  2546.133  1472.754   102.912
'2015-07-01 07:15:00'   400.000   383.000   400.000  2415.815  1508.609   119.098
'2015-07-01 07:20:00'   400.000   383.000   400.000  2670.213  1480.548   131.281
'2015-07-01 07:25:00'   400.000   383.000   400.000  2479.993  1549.212   143.180
'2015-07-01 07:30:00'   400.000   383.000   400.000  2491.312  1493.212   176.923
'2015-07-01 07:35:00'   400.000   383.000   400.000  2472.022  1450.973   183.362
'2015-07-01 07:40:00'   400.000   383.000   400.000  2527.375  1501.830   200.563
'2015-07-01 07:45:00'   400.000   383.000   400.000  2760.113  1462.895   198.145
'2015-07-01 07:50:00'   400.000   383.000   400.000  2738.172  1493.176   229.784
'2015-07-01 07:55:00'   400.000   383.000   400.000  2704.510  1510.632   247.853
'2015-07-01 08:00:00'   400.000   383.000   400.000  2846.196  1456.000   254.000
'2015-07-01 08:05:00'   400.000   383.000   400.000  2617.070  1488.084   274.184
'2015-07-01 08:10:00'   400.000   383.000   400.000  2792.063  1433.586   283.764
'2015-07-01 08:15:00'   400.000   383.000   400.000  2864.558  1398.915   303.400
'2015-07-01 08:20:00'   400.000   383.000   400.000  2826.413  1362.782   322.361
'2015-07-01 08:25:00'   400.000   383.000   400.000  2690.131  1434.406   339.522
'2015-07-01 08:30:00'   400.000   383.000   400.000  2991.425  1400.255   357.830
'2015-07-01 08:35:00'   400.000   383.000   400.000  2927.163  1457.195   360.757
'2015-07-01 08:40:00'   400.000   383.000   400.000  2784.814  1418.813   372.743
'2015-07-01 08:45:00'   400.000   383.000   400.000  3041.373  1392.222   404.192
'2015-07-01 08:50:00'   400.000   383.000   400.000  2875.910  1410.827   411.153
'2015-07-01 08:55:00'   400.000   383.000   400.000  3250.874  1376.584   419.232
'2015-07-01 09:00:00'   400.000   383.000   400.000  2963.846  1388.000   446.000
'2015-07-01 09:05:00'   400.000   383.000   400.000  2991.432  1398.574   437.726
'2015-07-01 09:10:00'   400.000   383.000   400.000  2705.542  1431.566   473.573
'2015-07-01 09:15:00'   400.000   383.000   400.000  2803.847  1450.105   488.570
'2015-07-01 09:20:00'   400.000   383.000   400.000  2840.018  1483.921   483.694
'2015-07-01 09:25:00'   400.000   383.000   400.000  2924.471  1479.421   487.197
'2015-07-01 09:30:00'   400.000   383.000   400.000  2825.174  1493.190   532.231
'2015-07-01 09:35:00'   400.000   383.000   400.000  2618.321  1505.223   568.901
'2015-07-01 09:40:00'   400.000   383.000   400.000  2808.669  1455.816   564.788
'2015-07-01 09:45:00'   400.000   383.000   400.000  2616.579  1533.625   575.515
