
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
                    !  ----------  ----------  ----------
'2015-07-01 00:00:00'    3805.993    6026.007            
'2015-07-01 01:00:00'    3745.581    5104.419            
'2015-07-01 02:00:00'    3624.755    4767.245            
'2015-07-01 03:00:00'    3503.930    4596.070            
'2015-07-01 04:00:00'    3564.343    3849.657            
'2015-07-01 05:00:00'    3926.818    3529.182            
'2015-07-01 06:00:00'    4349.706    2486.294            
'2015-07-01 07:00:00'    5135.070    1969.430            
'2015-07-01 08:00:00'    5739.196    2099.304            
'2015-07-01 09:00:00'    5980.846    2473.154            
'2015-07-01 10:00:00'    6041.259    3639.241            
'2015-07-01 11:00:00'    5980.846    4248.154            
'2015-07-01 12:00:00'    5618.371    4097.629            
'2015-07-01 13:00:00'    5557.958    3176.542            
'2015-07-01 14:00:00'    5437.133    1545.367            
'2015-07-01 15:00:00'    5316.308     551.692            
'2015-07-01 16:00:00'    5001.000                 436.133
'2015-07-01 17:00:00'    4734.500                 823.458
'2015-07-01 18:00:00'    4681.000                1118.609
'2015-07-01 19:00:00'    5920.434     165.066            
'2015-07-01 20:00:00'    5799.609    2398.391            
'2015-07-01 21:00:00'    5437.133    2660.867            
'2015-07-01 22:00:00'    4833.007    4204.993            
'2015-07-01 23:00:00'    4228.881    4913.119            
'2015-07-02 00:00:00'    3728.320    4047.680            
'2015-07-02 01:00:00'    3669.140    3688.860            
'2015-07-02 02:00:00'    3550.781    3063.219            
'2015-07-02 03:00:00'    3432.421    2329.579            
'2015-07-02 04:00:00'    3491.601    1376.399            
'2015-07-02 05:00:00'    3846.679     841.321            
'2015-07-02 06:00:00'    4260.937     330.063            
'2015-07-02 07:00:00'    3338.000                1692.273
'2015-07-02 08:00:00'    2670.500                2951.570
'2015-07-02 09:00:00'    3323.500                2535.288
'2015-07-02 10:00:00'    3074.500                2843.468
'2015-07-02 11:00:00'    3945.500                1913.288
'2015-07-02 12:00:00'    4054.000                1449.710
'2015-07-02 13:00:00'    4054.000                1390.531
'2015-07-02 14:00:00'    3897.000                1429.171
'2015-07-02 15:00:00'    3597.000                1610.812
'2015-07-02 16:00:00'    3274.500                2051.671
'2015-07-02 17:00:00'    3318.500                2126.031
'2015-07-02 18:00:00'    3570.000                2111.249
'2015-07-02 19:00:00'    4478.500                1321.109
'2015-07-02 20:00:00'    5681.249     366.751            
'2015-07-02 21:00:00'    5326.171     427.829            
'2015-07-02 22:00:00'    4734.374    1565.626            
'2015-07-02 23:00:00'    4142.578    2721.422            
'2015-07-03 00:00:00'    3650.647    2499.353            
'2015-07-03 01:00:00'    3592.700    1023.300            
'2015-07-03 02:00:00'    3476.806     589.194            
'2015-07-03 03:00:00'    3360.913    1189.087            
'2015-07-03 04:00:00'    3418.859     245.141            
'2015-07-03 05:00:00'    3766.540     303.460            
'2015-07-03 06:00:00'    4171.000                   1.167
'2015-07-03 07:00:00'    2410.500                2514.975
'2015-07-03 08:00:00'    1843.500                3661.443
'2015-07-03 09:00:00'    3634.500                2102.230
'2015-07-03 10:00:00'    5408.000                 386.677
'2015-07-03 11:00:00'    5736.730     485.270            
'2015-07-03 12:00:00'    5389.050     801.450            
'2015-07-03 13:00:00'    5331.103    1497.897            
'2015-07-03 14:00:00'    5215.209    1442.791            
'2015-07-03 15:00:00'    5099.316     243.684            
'2015-07-03 16:00:00'    4785.000                 430.209
'2015-07-03 17:00:00'    4435.500                 895.603
'2015-07-03 18:00:00'    4922.000                 640.890
'2015-07-03 19:00:00'    5493.500                 185.283
'2015-07-03 20:00:00'    5562.890     963.110            
'2015-07-03 21:00:00'    5215.209    2218.791            
'2015-07-03 22:00:00'    4635.742    3736.258            
'2015-07-03 23:00:00'    4056.274    3933.726            
'2015-07-04 00:00:00'    3560.028    5081.972            
'2015-07-04 01:00:00'    3465.094    5348.906            
'2015-07-04 02:00:00'    3275.225    4548.775            
'2015-07-04 03:00:00'    3132.824    4365.176            
'2015-07-04 04:00:00'    3085.357    3940.643            
'2015-07-04 05:00:00'    3085.357    3550.643            
'2015-07-04 06:00:00'    3227.758    3199.242            
'2015-07-04 07:00:00'    3512.561    1431.439            
'2015-07-04 08:00:00'    3866.500                  73.264
'2015-07-04 09:00:00'    4224.566     195.934            
'2015-07-04 10:00:00'    4366.967     502.533            
'2015-07-04 11:00:00'    4329.000                 132.901
'2015-07-04 12:00:00'    3772.500                 547.000
'2015-07-04 13:00:00'    4026.500                 245.533
'2015-07-04 14:00:00'    3768.000                 504.033
